"serial","father","child","depth","access"
"url_139","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Queensboro_Bridge","1","True"
"url_140","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Brookwood_Cemetery","1","True"
"url_141","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Surrey","1","True"
"url_142","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Battersea_Park","1","True"
"url_143","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Concussion","1","True"
"url_144","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Fanum_House","1","True"
"url_145","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Basingstoke","1","True"
"url_146","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Ravenscourt_Park","1","True"
"url_147","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/HM_Prison_Dorchester","1","True"
"url_148","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/ScreenX","1","True"
"url_149","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/IMAX","1","True"
"url_150","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Amazing_Fantasy","1","True"
"url_151","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/The_Spectacular_Spider-Man","1","True"
"url_152","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/The_Punisher_War_Journal","1","True"
"url_153","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Spider-Man_Adventures","1","True"
"url_154","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/The_New_Avengers","1","True"
"url_155","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Frames_per_second","1","True"
"url_156","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Key_to_the_city","1","True"
"url_157","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Rosario_Dawson","1","True"
"url_158","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Additional_photography","1","True"
"url_159","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Assembly_cut","1","True"
"url_160","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Sony_Pictures_Imageworks","1","True"
"url_161","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Framestore","1","True"
"url_162","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Rise_FX","1","True"
"url_163","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Cantina_Creative","1","True"
"url_164","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Leitmotif","1","True"
"url_165","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Sony_Classical","1","True"
"url_166","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Spider-Man_theme_song","1","True"
"url_167","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Screen_Rant","1","True"
"url_168","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/YouTube","1","True"
